"","Id","Name","Adress","Lon","Lat"
"1","16180","MUSEO DEL MONASTERIO DE TULEBRAS","Real Monasterio de Nuestra Señora de la Caridad , Tulebras , 31522 , Spain","-1.6757597","41.9767781"
"2","16181","CASA MUSEO DE ARRESE","Calle Vallejo 5 , Corella , 31591 , Spain","-1.7854025","42.1141563"
"3","16182","MUSEO DE LA ENCARNACIÓN","Plaza Gobernador Don Pedro de Baygorri , Corella , 31591 , Spain",NA,NA
"4","16183","MUSEO ARTÍSTICO DE RONCESVALLES","Real Colegiata , Roncesvalles , 31650 , Spain","-1.319615","43.009837"
"5","16184","MUSEO DE LA REAL COLEGIATA","Calle Real Colegiata , Roncesvalles , 31650 , Spain","-1.319615","43.009837"
"6","16185","MUSEO DIOCESANO","Calle Progreso 44 , Ourense , 32003 , Spain","-7.8661817","42.3389913"
"7","16186","MUSEO ARQUEOLÓGICO PROVINCIAL","Antiguo Palacio Episcopal Calle Obispo Carrascosa 1 , Ourense , 32005 , Spain",NA,NA
"8","16187","MUSEO DIOCESANO-CATEDRALICIO","Catedral, Plaza Trigo s/n , Ourense , 32005 , Spain","-7.862979","42.33634"
"9","16188","MUSEO MUNICIPAL","Calle Lepanto 6 , Ourense , 32005 , Spain","-7.8629346","42.3368685"
"10","16189","MUSEO ETNOGRÁFICO LISTE","Calle San Cristovo de Cea , Oseira , 32136 , Spain","-7.9509435","42.5384536"
"11","16190","FUNDACIÓN CULTURAL OTERO PEDRAYO","Pazo de Trasalba-Amoeiro , Trasalba-Amoeiro , 32172 , Spain","-7.9760809","42.3638505"
